kanji 1	kanji 2	kanji 3	kanji 4	kana 1	kana 2	Part-of-Speech	meaning
直四目				ちょくしもく		n	(go terminology)
珍瓏				ちんろう		n	(go terminology)
ツギ				つぎ		n	(go terminology)
突き当たり	突きアタリ	ツキ当たり	ツキアタリ	つきあたり		n	(go terminology)
突き出し	突きダシ	ツキ出し	ツキダシ	つきだし		n	(go terminology)
次の一手				つぎのいって		n	(go terminology)
ツグ				つぐ		v	(go terminology)
作り碁				つくりご		n	counting the score at the end of the game by rearranging the stones
付け	ツケ			つけ		n	(go terminology)
ツケオサエ				つけおさえ		n	(go terminology)
付け返し	ツケ返し			つけかえし		n	(go terminology)
付けギリ	ツケギリ			つけぎり		n	(go terminology)
付けコシ	ツケコシ			つけこし		n	(go terminology)
ツケノビ				つけのび		n	(go terminology)
付けハネ	ツケハネ			つけはね		n	(go terminology)
付け引き	ツケヒキ			つけひき		n	(go terminology)
付けフクレ	ツケフクレ			つけふくれ		n	(go terminology)
突込み	ツッコミ			つっこみ		n	(go terminology)
突張り	ツッパリ			つっぱり		n	(go terminology)
ツナギ				つなぎ		n	(go terminology)
つぶれる				つぶれる		v	(go terminology)
ツメ				つめ		n	(go terminology)
詰碁				つめご		n	tsume-go
詰める				つめる		v	(go terminology)
強い				つよい		adj-i	(go terminology)
鶴ノ巣籠り	鶴の巣ごもり			つるのすごもり		n	(go terminology)
手				て		n	(go terminology)
出	デ			で		n	(go terminology)
手合				てあい		n	(go terminology)
手入れ				ていれ		n	(go terminology)
敵				てき		n	(go terminology)
出切り	デギリ			でぎり		n	(go terminology)
手順				てじゅん		n	(go terminology)
手筋				てすじ		n	(go terminology)
鉄柱				てっちゅう		n	(go terminology)
手止まり				てどまり		n	(go terminology)
手抜き				てぬき		n	tenuki
手番				てばん		n	(go terminology)
出る				でる		v	(go terminology)
手割り				てわり		n	tewari
手を抜く				てをぬく		v	to play tenuki
天狗の鼻付け				てんぐのはなづけ		n	(go terminology)
天元				てんげん		n	the Tengen title; the 10-10 point
トーチカ				とーちか		n	(go terminology)
投了				とうりょう		n	(go terminology)
徳利	トックリ			とっくり		n	(go terminology)
飛び	跳び	トビ		とび		n	(go terminology)
トビ込み	トビコミ			とびこみ		n	(go terminology)
トビサガリ				とびさがり		n	(go terminology)
飛び出し	トビ出し	トビダシ		とびだし		n	(go terminology)
トビツケ				とびつけ		n	(go terminology)
トビマガリ				とびまがり		n	(go terminology)
取り	トリ			とり		n	(go terminology)
取り返し	トリカエシ			とりかえし		n	(go terminology)
トリカケ				とりかけ		n	(go terminology)
取る				とる		v	(go terminology)
トントン				とんとん		n	(go terminology)
中手	ナカデ			なかで		n	(go terminology)
投げ場				なげば		n	(go terminology)
投げる				なげる		v	(go terminology)
雪崩	ナダレ			なだれ		n	(go terminology)
七子				ななし		n	seven stones
七段				ななだん		n	7 dan
七目中手	七目ナカデ			ななもくなかで		n	(go terminology)
七路				ななろ		n	7x7
ナマノゾキ				なまのぞき		n	(go terminology)
並び	ナラビ			ならび		n	(go terminology)
逃がす				にがす		v	(go terminology)
二眼				にがん		n	(go terminology)
握り	にぎり	ニギリ		にぎり		n	nigiri
逃げ出し				にげだし		n	(go terminology)
逃げる				にげる		v	(go terminology)
二間受け				にけんうけ		n	(go terminology)
二間シマリ				にけんしまり		n	(go terminology)
二間ジマリ				にけんじまり		n	(go terminology)
二間高ガカリ				にけんたかがかり		n	(go terminology)
二間高ジマリ				にけんたかじまり		n	(go terminology)
二間高バサミ				にけんたかばさみ		n	(go terminology)
二間トビ				にけんとび		n	(go terminology)
二間バサミ				にけんばさみ		n	(go terminology)
二間ビラキ				にけんびらき		n	(go terminology)
二子				にし		n	two stones
二子の頭	二子のアタマ			にしのあたま		n	(go terminology)
二段				にだん		n	2 dan; two-step
二段オサエ				にだんおさえ		n	(go terminology)
二段劫	二段コウ			にだんこう		n	(go terminology)
二段バネ				にだんばね		n	(go terminology)
２の一	二の一	二ノ一		にのいち		n	(go terminology)
日本棋院				にほんきいん		n	(go terminology)
入段				にゅうだん		n	becoming a professional player
二連星				にれんせい		n	(go terminology)
抜き	ヌキ			ぬき		n	(go terminology)
抜く				ぬく		v	(go terminology)
ぬるい				ぬるい		adj-i	(go terminology)
ノゾキ				のぞき		n	(go terminology)
伸び	ノビ			のび		n	(go terminology)
ノビ込み	ノビコミ			のびこみ		n	(go terminology)
ノビ出し	ノビダシ			のびだし		n	(go terminology)
敗				はい		n	(go terminology)
杯				はい		n	(go terminology)
這い	這イ	ハイ		はい		n	(go terminology)
ハイコミ				はいこみ		n	(go terminology)
配置				はいち		n	(go terminology)
敗着				はいちゃく		n	losing move
ハザマ				はざま		n	(go terminology)
ハザマスベリ				はざますべり		n	(go terminology)
ハザマトビ				はざまとび		n	(go terminology)
挟み	ハサミ			はさみ		n	(go terminology)
ハサミ返し	ハサミカエシ			はさみかえし		n	(go terminology)
ハサミツケ				はさみつけ		n	(go terminology)
走り	ハシリ			はしり		n	(go terminology)
バタバタ				ばたばた		n	(go terminology)
八子				はちし		n	eight stones
八段				はちだん		n	8 dan
鼻				はな		n	(go terminology)
鼻付け	鼻ツケ	鼻ヅケ		はなつけ	はなづけ	n	(go terminology)
花見劫	花見コウ			はなみこう		n	(go terminology)
花六				はなろく		n	(go terminology)
ハネ				はね		n	(go terminology)
ハネ返し	ハネカエシ			はねかえし		n	(go terminology)
ハネ切り	ハネキリ			はねきり		n	(go terminology)
ハネ込み	ハネコミ			はねこみ		n	(go terminology)
ハネ殺し				はねごろし		n	(go terminology)
ハネ出し	ハネダシ			はねだし		n	(go terminology)
ハネツギ				はねつぎ		n	(go terminology)
幅				はば		n	(go terminology)
ハマ				はま		n	(go terminology)
嵌まり	はまり	ハマリ		はまり		n	(go terminology)
嵌め手	はめ手	ハメ手		はめて		n	(go terminology)
ハメ手破り				はめてやぶり		n	(go terminology)
早い				はやい		adj-i	(go terminology)
早碁				はやご		n	(go terminology)
腹				はら		n	(go terminology)
腹付け	腹ツケ	腹ヅケ		はらつけ	はらづけ	n	(go terminology)
半眼				はんがん		n	(go terminology)
反撃				はんげき		n	(go terminology)
番碁				ばんご		n	(go terminology)
半劫	半コウ			はんこう		n	(go terminology)
盤面				ばんめん		n	surface of the board, also: the situation on the board
半目				はんもく		n	(go terminology)
半目勝負				はんもくしょうぶ		n	(go terminology)
ヒカルの碁	ヒカ碁			ひかるのご	ひかご	n	(go terminology)
引き	ヒキ			ひき		n	(go terminology)
引く				ひく		v	(go terminology)
低い				ひくい		adj-i	(go terminology)
低ガカリ				ひくがかり		n	(go terminology)
左				ひだり		n	(go terminology)
引っくり返し				ひっくりかえし		n	(go terminology)
秒読み				びょうよみ		n	byoyomi
開き	ヒラキ			ひらき		n	extension on 3rd or 4th line
広い				ひろい		adj-i	(go terminology)
広げる				ひろげる		v	(go terminology)
ピンツギ				ぴんつぎ		n	(go terminology)
封鎖				ふうさ		n	(go terminology)
封じ手				ふうじて		n	sealed move
フクラミ				ふくらみ		n	(go terminology)
膨れ	フクレ			ふくれ		n	(go terminology)
布石				ふせき		n	fuseki
ブツカリ				ぶつかり		n	(go terminology)
フトコロ				ふところ		n	(go terminology)
ブラ下がり	ブラサガリ			ぶらさがり		n	(go terminology)
